year,facility,total emissions
2018,Fairchild AFB - Spokane Co.,11933
2016,Alcoa Intalco Works - Ferndale,1261364
2017,Northwest Pipeline Roosevelt C/S - Bickleton,12487
2019,Northwest Hardwoods Inc. - Longview,13053
2021,Phillips 66 Ferndale Refinery - Ferndale,832110
2015,City of Enumclaw Gas Utility - supplier,20444
2016,Star Forge LLC dba Jorgensen Forge - Tukwila,6820
2015,Weyerhaeuser Raymond Lumber - Raymond,45228
2018,Terrace Heights Landfill - Yakima,117391
2016,City of Tacoma Solid Waste Facility - Tacoma,14513
2019,Tree Top - Wenatchee,10135
2015,Cowlitz County Headquarters Landfill - Castle Rock,190202
2014,Hampton Lumber Mills Washington Inc. - Morton,28827
2018,Starbucks Kent Flexible Plant - Kent,12709
2013,"Vaagen Bros. Lumber, Inc. - Colville",47081
2017,Frito Lay - Vancouver,17206
2012,Alon Asphalt Company - Seattle,15138
2012,US Army Joint Base Lewis-McChord - Pierce Co.,86478
2018,"SGL Carbon, LLC - Moses Lake",9549
2018,Roosevelt Regional Landfill - Roosevelt,247524
2016,"Tyson Fresh Meats, Inc. - Wallula",88889
2017,Alcoa Intalco Works - Ferndale,1092946
2014,"SEH America, Inc - Vancouver",10788
2013,"Interfor US, Inc. - Tacoma",13395
2018,CertainTeed Gypsum - Seattle,51104
2018,"El Oro Cattle Feeders, LLC - Moses Lake",26710
2017,"Analog Devices, Inc. - Camas",22525
2020,Ponderay Industries - Usk,27486
2021,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,13151
2018,Lamb Weston - Pasco,43648
2020,Sierra Pacific Industries - Burlington - Mount Vernon,218424
2016,Air Liquide Hydrogen Plant  - Anacortes,60218
2019,Hampton Lumber Mills Washington Inc. - Morton,37806
2012,The Boeing Company: DC/MFC - Tukwila,15766
2012,bp Cherry Point Refinery - Blaine,1757798
2021,Sierra Pacific Industries - Centralia,46063
2013,Lamb Weston - Pasco,49844
2019,Matheson - Anacortes,41845
2021,Darling Ingredients Inc - Tacoma,10230
2019,Grant County Landfill 1 - Ephrata,49368
2018,Avista Corporation LDC - WA - statewide,15762
2013,Sonoco Products - Sumner,10384
2017,"SGL Carbon, LLC - Moses Lake",5842
2012,HollyFrontier Puget Sound Refinery LLC - Anacortes,2104214
2016,"Solvay Chemicals, Inc. - Longview",45921
2014,Imerys Minerals Quincy Plant - Quincy,21865
2012,Naval Base Kitsap Bangor - Silverdale,24063
2015,University of Washington Seattle Campus - Seattle,82430
2014,Northwest Pipeline C/S - Mount Vernon,48020
2016,King County Solid Waste Cedar Hills Landfill - Maple Valley,77624
2015,Lamb Weston - Warden,16271
2016,McKinley Paper Co. - Washington Mill - Port Angeles,198142
2013,"Bio Energy Washington, LLC - Maple Valley",28256
2019,Darigold - Chehalis,12351
2016,Simplot Feeders LTD. - Burbank,23348
2012,Sierra Pacific Industries - Burlington - Mount Vernon,310931
2021,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,49645
2017,Tree Top - Prosser,16242
2021,Northwest Pipeline C/S - Snohomish,40735
2012,Darigold - Sunnyside,22078
2020,REC Solar Grade Silicon - Moses Lake,0
2014,Cardinal FG Company - Winlock,102813
2014,Tree Top - Selah Campus,15254
2014,Port Townsend Paper Corporation - Port Townsend,562549
2013,Puget Sound Energy - Sumas Generating Station - Sumas,250238
2016,Northwest Pipeline C/S - Sumner,46614
2021,Guy Bennett Lumber Company - Clarkston,15731
2015,Gas Transmission Northwest Compressor Station 8 - Wallula,111325
2015,"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",71151
2019,WaferTech LLC - Camas,88223
2021,Michelsen Packaging - Yakima,10481
2019,Northwest Pipeline C/S - Chehalis,3980
2018,Hampton Lumber Mills Washington Inc. - Darrington,86688
2013,"Interfor US, Inc. - Forks",27296
2017,Nippon Dynawave - Longview,1532282
2021,Steelscape - Kalama,22183
2012,Puget Sound Energy - Frederickson Generating Station - Tacoma,30729
2018,University of Washington Seattle Campus - Seattle,92022
2017,bp Cherry Point Refinery - Blaine,2060243
2012,Alcoa Intalco Works - Ferndale,1146835
2018,Puget Sound Energy - Whitehorn Generating Station - Blaine,44531
2017,Seattle-Tacoma International Airport - Seattle,14791
2012,"Solvay Chemicals, Inc. - Longview",48881
2012,Frederickson Power LP - Tacoma,139141
2014,Northwest Hardwoods Inc. - Centralia,15486
2013,"Tyson Fresh Meats, Inc. - Wallula",65322
2021,Alon Asphalt Company - Seattle,2
2013,Northwest Pipeline Roosevelt C/S - Bickleton,28675
2021,Horn Rapids Sanitary Landfill - Richland,44472
2014,Spokane Waste to Energy Facility - Spokane,243511
2016,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,30653
2018,Okanogan County Central Landfill - Okanogan,14240
2018,City of Ellensburg LDC - supplier,26703
2014,Marathon Anacortes Refinery - Anacortes,1344336
2020,The Boeing Company - Auburn Site - Auburn,34964
2015,Northwest Hardwoods Inc. - Longview,16719
2017,Fairchild AFB - Spokane Co.,12821
2020,Puget Sound Energy - Goldendale Generating Station - Goldendale,730210
2020,Cowlitz County Headquarters Landfill - Castle Rock,231381
2020,"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",57356
2012,Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,36141
2019,Cathcart Landfill - Snohomish,33268
2016,City of Enumclaw Gas Utility - supplier,21131
2019,Gas Transmission Northwest Compressor Station 6 - Rosalia,105918
2018,U.S. Department of Energy Hanford Site - Richland,13510
2012,Ardagh Glass Inc. - Seattle,76257
2021,Cosmo Specialty Fibers Inc - Cosmopolis,488136
2019,Star Forge LLC dba Jorgensen Forge - Tukwila,60
2013,Ash Grove Cement Company - Seattle,355314
2015,Puget Sound Energy - Fredonia Generating Station - Mount Vernon,115727
2012,Chehalis Generation Facility - Chehalis,371646
2012,SDS Lumber Company - Bingen,89927
2017,Cascade Natural Gas Corporation LDC - statewide,26227
2013,U.S. Department of Energy Hanford Site - Richland,14615
2017,The Boeing Company - Renton,20112
2020,Georgia-Pacific Consumer Operations LLC - Camas,67816
2021,Northwest Pipeline C/S - Mount Vernon,54572
2017,Goodrich Corporation - Spokane,44750
2012,Bonneville Power Administration - WA Only - statewide,26927
2017,Tree Top - Selah Campus,14762
2015,Sierra Pacific Industries - Shelton,41324
2020,Lamb Weston - Warden,13694
2013,McCain Foods - Othello,89215
2017,Boulder Park Generating Station - Spokane Valley,13286
2012,Tree Top - Prosser,17818
2016,HollyFrontier Puget Sound Refinery LLC - Anacortes,1980495
2015,Steelscape - Kalama,23274
2014,Gas Transmission Northwest Compressor Station 6 - Rosalia,75083
2015,Phillips 66 Ferndale Refinery - Ferndale,749019
2014,Puget Sound Energy - Goldendale Generating Station - Goldendale,387312
2016,Cowlitz County Headquarters Landfill - Castle Rock,178854
2015,DH Feeders - Eltopia,15048
2020,The Boeing Company - Renton,14794
2018,Imerys Minerals Quincy Plant - Quincy,22730
2017,Sonoco Products - Sumner,11361
2012,Cascade Natural Gas Corporation LDC - statewide,10605
2018,"Interfor US, Inc. - Port Angeles",35595
2014,CertainTeed Gypsum - Seattle,36299
2020,Georgia-Pacific Gypsum LLC - Tacoma,38732
2017,Puget Sound Energy - Sumas Generating Station - Sumas,125472
2018,Naval Base Kitsap - Bremerton,43240
2014,Avista Corporation LDC - WA - statewide,15252
2019,Central Washington University - Ellensburg,14884
2019,Basic American Foods - Moses Lake,30698
2019,Graymont Western US. Inc. - Tacoma,22
2012,Puget Sound Energy LDC - statewide,51652
2014,Northwest Pipeline C/S - Sumas,82830
2015,Terrace Heights Landfill - Yakima,109385
2015,Owens-Brockway Glass Container Inc Plant #2 - Kalama,22288
2013,Darigold - Lynden,18509
2013,Hampton Lumber Mills Washington Inc. - Randle,52575
2020,McKinley Paper Co. - Washington Mill - Port Angeles,72035
2019,Ash Grove Cement Company - Seattle,366202
2015,"WestRock CP, LLC - Tacoma",1135442
2018,Darigold - Lynden,17919
2020,Northwest Pipeline Plymouth C/S - Plymouth,6769
2012,REC Solar Grade Silicon - Moses Lake,133823
2016,Sierra Pacific Industries - Burlington - Mount Vernon,307452
2016,Ponderay Industries - Usk,46201
2015,Naval Air Station Whidbey Island - Oak Harbor,14018
2012,Northwest Pipeline C/S - Goldendale,26752
2015,Georgia-Pacific Gypsum LLC - Tacoma,46906
2017,Horn Rapids Sanitary Landfill - Richland,18036
2015,Northwest Pipeline Willard C/S - Cook,12443
2020,LRI Landfill - Graham,77224
2015,"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",57294
2013,Puget Sound Energy T&D - statewide,2772
2018,"Emerald City Renewables, LLC- Graham",19166
2012,Kettle Falls Generating Station - Kettle Falls,276785
2019,Steelscape - Kalama,22577
2021,Cheyne Landfill - Zillah,43966
2015,Riverside Feeders SFL - Kennewick,21519
2016,Ardagh Glass Inc. - Seattle,77845
2019,Inland Empire Paper Company - Spokane,31037
2021,Northwest Hardwoods Inc. - Centralia,9877
2017,Kettle Falls Generating Station - Kettle Falls,423808
2018,Lamb Weston - Quincy,32073
2012,Cathcart Landfill - Snohomish,27653
2019,TransAlta Centralia Generation LLC - Centralia,8000387
2020,City of Enumclaw Gas Utility - supplier,23653
2013,Northwest Pipeline C/S - Washougal,25393
2020,"North Pacific Paper Company, LLC - Longview",39097
2017,Puget Sound Energy - Encogen Generating Station - Bellingham,98352
2018,Gas Transmission Northwest Compressor Station 7 - Starbuck,64228
2020,Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis,12311
2020,"Bio Energy Washington, LLC - Maple Valley",23405
2018,Marathon Anacortes Refinery - Anacortes,1234174
2016,The Boeing Company - Auburn Site - Auburn,36033
2017,"Emerald City Renewables, LLC- Graham",20394
2020,US Army Joint Base Lewis-McChord - Pierce Co.,70954
2017,Avista Corporation - supplier,1157017
2018,Spokane Waste to Energy Facility - Spokane,232667
2021,"Bio Energy Washington, LLC - Maple Valley",21129
2019,J.R. Simplot Company - Moses Lake,34481
2015,NW Natural - supplier,376580
2012,Fairchild AFB - Spokane Co.,13693
2012,Spokane Waste to Energy Facility - Spokane,249248
2012,"Nucor Steel Seattle, Inc, - Seattle",124468
2015,The Boeing Company: DC/MFC - Tukwila,15614
2014,Basic American Foods - Moses Lake,28982
2014,CenTrio Energy Seattle LLC - Seattle,88421
2017,The Boeing Company - Fabrication (Frederickson Site) - Puyallup,19893
2019,Frederickson Power LP - Tacoma,514505
2021,REG Grays Harbor LLC - Hoquiam,16499
2013,Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,154497
2014,Weyerhaeuser Raymond Lumber - Raymond,41976
2019,Puget Sound Energy - Fredonia Generating Station - Mount Vernon,154544
2012,Seattle-Tacoma International Airport - Seattle,14272
2016,Chehalis Generation Facility - Chehalis,591616
2013,Nippon Dynawave - Longview,1509835
2015,US Army Joint Base Lewis-McChord - Pierce Co.,78742
2012,Graymont Western US. Inc. - Tacoma,86850
2014,Great Western Malt - Vancouver,18814
2017,Cosmo Specialty Fibers Inc - Cosmopolis,556957
2019,Ascensus Specialties LLC - Elma,22358
2017,Cascade Natural Gas Corporation - supplier,1843833
2018,Washington State University - Pullman,61882
2012,Cosmo Specialty Fibers Inc - Cosmopolis,536936
2019,Puget Sound Energy - Encogen Generating Station - Bellingham,191710
2018,Weyerhaeuser Raymond Lumber - Raymond,45103
2019,City of Enumclaw Gas Utility - supplier,24260
2016,River Road Generating Plant - Vancouver,569033
2014,Central Washington University - Ellensburg,13673
2017,Gas Transmission Northwest Compressor Station 7 - Starbuck,41961
2018,Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,119791
2017,Northwest Pipeline C/S - Mount Vernon,62345
2019,CenTrio Energy Seattle LLC - Seattle,69254
2015,Ardagh Glass Inc. - Seattle,76674
2019,DH Feeders - Eltopia,14478
2015,Basic American Foods - Moses Lake,31063
2017,Graymont Western US. Inc. - Tacoma,23
2019,Northwest Pipeline C/S - Sumas,79135
2020,Frito Lay - Vancouver,13787
2013,"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley",110966
2021,Chehalis Generation Facility - Chehalis,918668
2016,Great Western Malt - Vancouver,17085
2020,The Boeing Company: DC/MFC - Tukwila,12613
2020,J.R. Simplot Company - Moses Lake,33788
2015,H.W. Hill Landfill Gas Power Plant - Roosevelt,80421
2017,McCain Foods - Othello,63045
2012,Northwest Pipeline C/S - Snohomish,31357
2020,Ash Grove Cement Company - Seattle,346185
2019,Sierra Pacific Industries - Shelton,84086
2019,Cardinal FG Company - Winlock,93946
2019,REG Grays Harbor LLC - Hoquiam,17720
2014,Puget Sound Energy LDC - statewide,60382
2015,LRI Landfill - Graham,83094
2014,Michelsen Packaging - Yakima,10601
2021,Sonoco Products - Sumner,11480
2020,DH Feeders - Eltopia,14315
2014,Tree Top - Wenatchee,10146
2021,Cascade Natural Gas Corporation LDC - statewide,24418
2021,Darigold - Sunnyside,38759
2014,Simplot Feeders LTD. - Burbank,25867
2021,Great Western Malt - Vancouver,20037
2020,Avista Corporation - WA State DOE Reporting - statewide,472
2012,Puget Sound Energy - Encogen Generating Station - Bellingham,51680
2018,Lamb Weston - Connell,35338
2012,Ponderay Industries - Usk,51816
2012,McKinley Paper Co. - Washington Mill - Port Angeles,117631
2012,Port Townsend Paper Corporation - Port Townsend,613948
2017,Puget Sound Energy LDC - supplier,5714017
2017,Sierra Pacific Industries - Aberdeen,246387
2019,Cowlitz County Tennant Way Landfill - Longview,18596
2019,Terrace Heights Landfill - Yakima,120182
2017,Northwest Pipeline C/S - Goldendale,19062
2014,Northwest Pipeline C/S - Washougal,11764
2013,Roosevelt Regional Landfill - Roosevelt,282981
2018,Northwest Hardwoods Inc. - Mount Vernon,9335
2020,Lamb Weston - Richland,86387
2016,Puget Sound Energy - Frederickson Generating Station - Tacoma,30296
2019,Naval Air Station Whidbey Island - Oak Harbor,13092
2016,Spectrum Glass Company - Woodinville,9327
2016,Owens-Brockway Glass Container Inc Plant #2 - Kalama,23284
2013,Matheson - Anacortes,41885
2017,Phillips 66 Ferndale Refinery - Ferndale,748762
2019,Northwest Pipeline C/S - Sumner,14576
2013,US Army Joint Base Lewis-McChord - Pierce Co.,83806
2012,Star Forge LLC dba Jorgensen Forge - Tukwila,20917
